Folder RSN,Folder Status,Indate,Month,End Date,Complaint Source,NBHD Number,Complaint Type 1,Complaint Type 2,Complaint Type 3,Orders Generated,Number of No Folders,Ward
2240750,Closed,05/19/2023,MAY,05/29/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2255260,Closed,06/08/2023,JUN,06/23/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
2255267,Closed,06/08/2023,JUN,07/20/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
2258117,Closed,06/12/2023,JUN,06/27/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
2258118,Closed,06/12/2023,JUN,06/26/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
2258124,Closed,06/12/2023,JUN,06/13/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
2258127,Closed,06/12/2023,JUN,06/13/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
2262452,Closed,06/18/2023,JUN,08/02/2023,311 Complaint,WOLSELEY,Vegetation,VacantMaintenance,LitterGarbage,No,0,Daniel McIntyre
2276413,Closed,07/07/2023,JUL,07/14/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,2,Daniel McIntyre
2278331,Closed,07/10/2023,JUL,07/17/2023,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2280223,Closed,07/12/2023,JUL,07/13/2023,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2282349,Closed,07/15/2023,JUL,07/17/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
2287037,Closed,07/21/2023,JUL,07/28/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2287038,Closed,07/21/2023,JUL,07/28/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2287039,Closed,07/21/2023,JUL,07/28/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2289900,Closed,07/25/2023,JUL,07/31/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2301752,Closed,08/09/2023,AUG,08/11/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2301753,Closed,08/09/2023,AUG,08/10/2023,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2301800,Closed,08/09/2023,AUG,08/09/2023,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2303034,Closed,08/10/2023,AUG,08/29/2023,311 Complaint,WOLSELEY,Vegetation,LitterGarbage,,No,0,Daniel McIntyre
2308288,Closed,08/17/2023,AUG,08/18/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2309371,Closed,08/18/2023,AUG,08/23/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2309374,Closed,08/18/2023,AUG,08/22/2023,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2310717,Closed,08/20/2023,AUG,09/12/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
2310718,Closed,08/20/2023,AUG,09/12/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
2313898,Closed,08/23/2023,AUG,08/25/2023,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2313900,Closed,08/23/2023,AUG,08/28/2023,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2319378,Closed,08/30/2023,AUG,09/01/2023,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2319379,Closed,08/30/2023,AUG,09/06/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2319380,Closed,08/30/2023,AUG,09/06/2023,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2319381,Closed,08/30/2023,AUG,10/19/2023,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2323295,Closed,09/05/2023,SEP,10/17/2023,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2335378,Closed,09/20/2023,SEP,12/04/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
2343217,Closed,09/30/2023,SEP,12/04/2023,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
2489357,Closed,05/13/2024,MAY,07/05/2024,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2498340,Closed,05/25/2024,MAY,05/29/2024,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2503899,Closed,05/31/2024,MAY,07/08/2024,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2503935,Closed,05/31/2024,MAY,07/05/2024,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2503941,Closed,05/31/2024,MAY,07/08/2024,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2505940,Closed,06/03/2024,JUN,07/05/2024,City-CBES,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2516345,Closed,06/15/2024,JUN,06/25/2024,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,2,Daniel McIntyre
2516346,Closed,06/15/2024,JUN,06/19/2024,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
2520140,Closed,06/20/2024,JUN,07/29/2024,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
2521186,Closed,06/21/2024,JUN,07/24/2024,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2531445,Closed,07/04/2024,JUL,07/19/2024,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2551959,Closed,07/30/2024,JUL,07/30/2024,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2553077,Closed,07/31/2024,JUL,08/02/2024,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
2562905,Closed,08/13/2024,AUG,10/22/2024,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
2572642,Closed,08/26/2024,AUG,10/17/2024,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,2,Daniel McIntyre
2645316,Closed,11/16/2024,NOV,,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
